id,slug,category,subCategory,name,shortDescription,description,image,gallery,specifications,filters,isActive,status
coffee-robusta-s16-wp,robusta-s16-wp,Coffee,Robusta Coffee,Robusta S16 WP,"Washed & polished Robusta, screen 16, low-defect premium grade.","Washed & polished Vietnamese Robusta, screen size 16, processed to a bright, clean cup with low defect count for roasters who need a consistent, premium commercial-grade Robusta base.",cof-rob-g1-s16-wp-optimized.webp,,Moisture: 12.5% Max; Black & Broken Beans: 2% Max; Screen Size: S16 (6.3mm); Defects: Max 90 defects/300g; Container Capacity: 19.2MT/20FCL; Origin: Vietnam; Packing: Jute bag or PP bag with liner; Net Weight: 60 kgs; MOQ: 1 x 20FCL,type: Robusta; screenSize: S16; processing: WP,TRUE,published
coffee-robusta-clean-s16,robusta-clean-s16,Coffee,Robusta Coffee,Robusta Clean S16,"Sorted, low-defect Robusta, screen 16, reliable commercial grade.","Sorted and cleaned Vietnamese Robusta, screen size 16, with foreign matter and defective beans removed to deliver a reliable, good-value commercial grade for industrial and instant-coffee buyers.",cof-rob-g1-s16-cl-optimized.webp,,Moisture: 13% Max; Black & Broken Beans: 5% Max; Screen Size: S16 (6.3mm); Defects: Max 150 defects/300g; Container Capacity: 19.2MT/20FCL; Origin: Vietnam; Packing: Jute bag or PP bag with liner; Net Weight: 60 kgs; MOQ: 1 x 20FCL,type: Robusta; screenSize: S16; processing: Clean,TRUE,published
coffee-robusta-s16-standard,robusta-s16-standard,Coffee,Robusta Coffee,Robusta S16 Standard,"FAQ-grade Robusta, screen 16, high-volume export standard.","Standard-grade Vietnamese Robusta, screen size 16 — our fair-average-quality (FAQ) export grade, well suited for high-volume roasters and blenders working to a competitive price point.",,,Moisture: 13% Max; Black & Broken Beans: 8% Max; Screen Size: S16 (6.3mm); Defects: Max 200 defects/300g; Container Capacity: 19.2MT/20FCL; Origin: Vietnam; Packing: Jute bag or PP bag with liner; Net Weight: 60 kgs; MOQ: 1 x 20FCL,type: Robusta; screenSize: S16; processing: Standard,TRUE,published
coffee-robusta-s18-wp,robusta-s18-wp,Coffee,Robusta Coffee,Robusta S18 WP,"Washed & polished Robusta, screen 18, large-bean premium grade.","Washed & polished Vietnamese Robusta, screen size 18 for larger, more uniform beans. Clean processing and low defect count make this our top washed-grade Robusta for blends and single-origin roasts alike.",cof-rob-g1-s18-wp-optimized.webp,,Moisture: 12.5% Max; Black & Broken Beans: 2% Max; Screen Size: S18 (7.1mm); Defects: Max 90 defects/300g; Container Capacity: 19.2MT/20FCL; Origin: Vietnam; Packing: Jute bag or PP bag with liner; Net Weight: 60 kgs; MOQ: 1 x 20FCL,type: Robusta; screenSize: S18; processing: WP,TRUE,published
coffee-robusta-clean-s18,robusta-clean-s18,Coffee,Robusta Coffee,Robusta Clean S18,"Sorted, low-defect Robusta, screen 18, reliable commercial grade.","Sorted and cleaned Vietnamese Robusta, screen size 18, offering larger bean size with foreign matter and defective beans removed for a consistent, good-value commercial grade.",cof-rob-g1-s18-cl-optimized.webp,,Moisture: 13% Max; Black & Broken Beans: 5% Max; Screen Size: S18 (7.1mm); Defects: Max 150 defects/300g; Container Capacity: 19.2MT/20FCL; Origin: Vietnam; Packing: Jute bag or PP bag with liner; Net Weight: 60 kgs; MOQ: 1 x 20FCL,type: Robusta; screenSize: S18; processing: Clean,TRUE,published
coffee-robusta-s18-standard,robusta-s18-standard,Coffee,Robusta Coffee,Robusta S18 Standard,"FAQ-grade Robusta, screen 18, high-volume export standard.","Standard-grade Vietnamese Robusta, screen size 18 — our fair-average-quality (FAQ) export grade with larger bean size, well suited for high-volume roasters and blenders working to a competitive price point.",,,Moisture: 13% Max; Black & Broken Beans: 8% Max; Screen Size: S18 (7.1mm); Defects: Max 200 defects/300g; Container Capacity: 19.2MT/20FCL; Origin: Vietnam; Packing: Jute bag or PP bag with liner; Net Weight: 60 kgs; MOQ: 1 x 20FCL,type: Robusta; screenSize: S18; processing: Standard,TRUE,published
agri-cashew-lbw,cashew-nut-lbw-light-blemished-wholes,Cashew,Cashew Kernels,Cashew Nut LBW (Light Blemished Wholes),Economical whole kernels with minor surface discoloration.,"Light Blemished Wholes (LBW) are whole kernels that may show slight surface discoloration or minor blemishes. Despite the aesthetic variation, they maintain the full nutritional value and flavor profile of the white grades.",,,Grade: LBW; Color: Light Brown/Deep Ivory; Moisture: 5% Max; Broken: 5% Max,type: Cashew; grade: LBW; processing: Dried,TRUE,published
agri-cashew-ws,cashew-nut-ws-white-splits,Cashew,Cashew Kernels,Cashew Nut WS (White Splits),"Clean white cashew halves, ideal for confectionery and baking.","White Splits (WS) are kernels that have naturally split lengthwise during processing. They retain the same crispness and buttery flavor as whole kernels, making them an economical choice for the food processing industry.",cashew-ws-optimized.webp,,Grade: White Splits; Color: White/Pale Ivory; Moisture: 5% Max; Foreign Matter: Nil,type: Cashew; grade: WS; processing: Dried,TRUE,published
agri-cashew-ww180,cashew-nut-ww180-king-of-cashews,Cashew,Cashew Kernels,Cashew Nut WW180 (King of Cashews),"Largest available cashew kernels, premium white whole grade.","The WW180 is known as the ""King of Cashews"" due to its exceptional size and weight. These kernels are perfectly white and whole, sourced from the finest harvests in Binh Phuoc. They are the primary choice for luxury gift sets and premium retail brands.",cashew-ww180-optimized.webp,,Grade: White Whole 180; Count: 170-180/lb; Moisture: 5% Max; Broken: 5% Max,type: Cashew; grade: WW180; processing: Dried,TRUE,published
agri-cashew-ww240,cashew-nut-ww240-large,Cashew,Cashew Kernels,Cashew Nut WW240 (Large),Large premium white whole cashew kernels for elite snacking.,WW240 kernels offer a superior balance of size and value. These large white wholes are a favorite for international roasters who require a high-impact visual presence for their retail packaging.,cashew-ww240-optimized.webp,,Grade: White Whole 240; Count: 220-240/lb; Moisture: 5% Max; Broken: 5% Max,type: Cashew; grade: WW240; processing: Dried,TRUE,published
